,HMD,task,subID,type,lum_path,dur(s),min_lum_roc,min_lum_frame,min_lum_time(s)
43,varjo,sandwich,P13,merged,/data/AMPs/second-round/avg-lum-per-frame/P13_sandwich_varjo_P13_sandwich_2_merged_varjo_2022-02-07_11-37-59-818.csv,500.8002994991997,-0.3045913390040983,170.0,5.672333327661
44,varjo,sandwich,P23,full,/data/AMPs/second-round/avg-lum-per-frame/P23_sandwich_varjo_P23_sandwich_2022-02-11_14-05-06-946.csv,944.765753393105,-0.4605366507647399,256.0,8.533325084452418
45,varjo,sandwich,P23,merged,/data/AMPs/second-round/avg-lum-per-frame/P23_sandwich_varjo_P23_sandwich_2_merged.csv,947.1795657194872,-0.3638599313530678,206.0,6.8735333264598
46,varjo,sandwich,P3,full,/data/AMPs/second-round/avg-lum-per-frame/P3_sandwich_varjo_P3_sandwich_2022-02-10_10-26-33-331.csv,536.4661480827235,-0.2872244955153545,447.0,14.899985596680589
47,varjo,sandwich,P3,merged,/data/AMPs/second-round/avg-lum-per-frame/P3_sandwich_varjo_P3_sandwich_2_merged_varjo.csv,532.9323994670676,-0.3247577503788189,245.0,8.174833325158499
48,varjo,sandwich,P2,full,/data/AMPs/second-round/avg-lum-per-frame/P2_sandwich_varjo_P2_sandwich_2022-02-04_14-01-31-064.csv,765.265926909604,-0.4468207848710663,333.0,11.099989270010372
49,varjo,sandwich,P2,merged,/data/AMPs/second-round/avg-lum-per-frame/P2_sandwich_varjo_P2_sandwich_2_merged_varjo_2022-02-04_14-01-31-064.csv,765.764999234235,-0.5229202475667953,309.0,10.3102999896897
50,varjo,sandwich,P19,full,/data/AMPs/second-round/avg-lum-per-frame/P19_sandwich_varjo_P19_sandwich_2022-02-11_10-57-49-168.csv,411.932935131496,-0.24128548253532,292.0,9.73332392445354
51,varjo,sandwich,P19,merged,/data/AMPs/second-round/avg-lum-per-frame/P19_sandwich_varjo_P19_sandwich_2_merged_varjo_2022-02-11_10-57-49-168.csv,410.5100995894898,-0.2956866998208952,170.0,5.672333327661
52,varjo,sandwich,P25,full,/data/AMPs/second-round/avg-lum-per-frame/P25_sandwich_varjo_P25_sandwich_2022-02-09_10-59-14-215.csv,714.4659760162232,-0.7243821120311181,179.0,5.966660898894464
53,varjo,sandwich,P25,merged,/data/AMPs/second-round/avg-lum-per-frame/P25_sandwich_varjo_P25_sandwich_2_merged_varjo.csv,714.5805326187527,-0.5094838917981204,117.0,3.9038999960961
54,varjo,sandwich,P6,full,/data/AMPs/second-round/avg-lum-per-frame/P6_sandwich_varjo_P6_sandwich_2022-02-10_14-54-23-822.csv,433.032914734849,-0.4763237233758566,183.0,6.099994103339033
55,varjo,sandwich,P6,merged,/data/AMPs/second-round/avg-lum-per-frame/P6_sandwich_varjo_P6_sandwich_2_merged_varjo.csv,436.1356995638643,-0.3721617316155738,173.0,5.7724333275609
56,varjo,sandwich,P18,full,/data/AMPs/second-round/avg-lum-per-frame/P18_sandwich_varjo_P18_sandwich_2022-02-15_10-30-21-311.csv,356.0996557703328,-0.5330926736368691,150.0,4.999995166671338
57,varjo,sandwich,P18,merged,/data/AMPs/second-round/avg-lum-per-frame/P18_sandwich_varjo_P18_sandwich_2_merged_varjo.csv,359.9929663066737,-0.3963608423597007,175.0,5.8391666608275
58,varjo,sandwich,P21,full,/data/AMPs/second-round/avg-lum-per-frame/P21_sandwich_varjo_P21_sandwich-1_2022-02-14_13-48-31-619.csv,438.0329099015204,-0.3697338766153041,218.0,7.266659642229012
59,varjo,sandwich,P21,merged,/data/AMPs/second-round/avg-lum-per-frame/P21_sandwich_varjo_P21_sandwich_2_merged_varjo.csv,727.8604659388062,-0.4852545777346017,218.0,7.273933326059399
60,varjo,sandwich,P9,full,/data/AMPs/second-round/avg-lum-per-frame/P9_sandwich_varjo_P9_sandwich_2022-02-04_10-17-54-061.csv,383.9996288003588,-0.5833611386185472,163.0,5.433328081116188
61,varjo,sandwich,P9,merged,/data/AMPs/second-round/avg-lum-per-frame/P9_sandwich_varjo_P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.csv,384.6175662820491,-0.6072290063065792,177.0,5.9058999940941
62,varjo,sandwich,P14,full,/data/AMPs/second-round/avg-lum-per-frame/P14_sandwich_varjo_P14_sandwich_2022-02-01_13-55-10-050.csv,501.6328484215798,-0.5653418744416403,322.0,10.733322957787808
63,varjo,sandwich,P14,merged,/data/AMPs/second-round/avg-lum-per-frame/P14_sandwich_varjo_P14_sandwich_2_merged.csv,502.1015994978984,-0.5272395196629625,323.0,10.7774333225559
64,varjo,sandwich,P24,full,/data/AMPs/second-round/avg-lum-per-frame/P24_sandwich_varjo_P24_sandwich_2022-02-16_09-54-31-530.csv,520.3994969471529,-0.5223524927475104,417.0,13.89998656334632
65,varjo,sandwich,P24,merged,/data/AMPs/second-round/avg-lum-per-frame/P24_sandwich_varjo_P24_sandwich_2_merged_varjo.csv,518.9183994810816,-0.338049125456676,362.0,12.0787333212546
66,varjo,sandwich,P5,full,/data/AMPs/second-round/avg-lum-per-frame/P5_sandwich_varjo_P5_sandwich_2022-02-08_10-12-55-026.csv,336.0330085014251,-0.6774328434992687,84.0,2.7999972933359496
67,varjo,sandwich,P5,merged,/data/AMPs/second-round/avg-lum-per-frame/P5_sandwich_varjo_P5_sandwich_2_merged_varjo_2022-02-08_10-12-55-026.csv,337.4037329959296,-0.485686713786756,116.0,3.8705333294628
