,HMD,task,subID,type,lum_path,dur(s),max_lum_roc,max_lum_frame,max_lum_time(s),min_lum_roc,min_lum_frame,min_lum_time(s)
122,varjo,sandwich,P2,full,/data/AMPs/second-round/avg-lum-per-frame/P2_sandwich_varjo_P2_sandwich_2022-02-04_14-01-31-064.csv,765.265926909604,0.7415159219532388,377.0,12.56665451890063,-0.44682078487106636,333.0,11.099989270010372
123,varjo,sandwich,P2,merged,/data/AMPs/second-round/avg-lum-per-frame/P2_sandwich_varjo_P2_sandwich_2_merged_varjo_2022-02-04_14-01-31-064.csv,765.764999234235,0.628380563411298,310.0,10.343666656323,-0.5229202475667953,309.0,10.3102999896897
124,varjo,sandwich,P19,full,/data/AMPs/second-round/avg-lum-per-frame/P19_sandwich_varjo_P19_sandwich_2022-02-11_10-57-49-168.csv,411.93293513149604,0.22078073746545335,384.0,12.799987626678627,-0.24128548253532,292.0,9.73332392445354
125,varjo,sandwich,P19,merged,/data/AMPs/second-round/avg-lum-per-frame/P19_sandwich_varjo_P19_sandwich_2_merged_varjo_2022-02-11_10-57-49-168.csv,410.51009958948987,0.2617791353269683,262.0,8.7420666579246,-0.29568669982089524,170.0,5.672333327661
126,varjo,sandwich,P25,full,/data/AMPs/second-round/avg-lum-per-frame/P25_sandwich_varjo_P25_sandwich_2022-02-09_10-59-14-215.csv,714.4659760162232,2.646391882562741,260.0,8.666658288896986,-0.7243821120311181,179.0,5.966660898894464
127,varjo,sandwich,P25,merged,/data/AMPs/second-round/avg-lum-per-frame/P25_sandwich_varjo_P25_sandwich_2_merged_varjo.csv,714.5805326187527,0.45906028829397183,198.0,6.6065999933934,-0.5094838917981204,117.0,3.9038999960961
128,varjo,sandwich,P6,full,/data/AMPs/second-round/avg-lum-per-frame/P6_sandwich_varjo_P6_sandwich_2022-02-10_14-54-23-822.csv,433.03291473484904,0.6095669442078557,253.0,8.433325181118992,-0.4763237233758566,183.0,6.099994103339033
129,varjo,sandwich,P6,merged,/data/AMPs/second-round/avg-lum-per-frame/P6_sandwich_varjo_P6_sandwich_2_merged_varjo.csv,436.1356995638643,0.3575478725231733,242.0,8.074733325258599,-0.37216173161557387,173.0,5.7724333275609
130,varjo,sandwich,P18,full,/data/AMPs/second-round/avg-lum-per-frame/P18_sandwich_varjo_P18_sandwich_2022-02-15_10-30-21-311.csv,356.09965577033273,0.9491233279162115,253.0,8.433325181118992,-0.5330926736368691,150.0,4.999995166671338
131,varjo,sandwich,P18,merged,/data/AMPs/second-round/avg-lum-per-frame/P18_sandwich_varjo_P18_sandwich_2_merged_varjo.csv,359.9929663066737,0.4486471273701371,277.0,9.2425666574241,-0.3963608423597007,175.0,5.8391666608275
132,varjo,sandwich,P21,full,/data/AMPs/second-round/avg-lum-per-frame/P21_sandwich_varjo_P21_sandwich-1_2022-02-14_13-48-31-619.csv,438.0329099015204,0.8892766327397938,264.0,8.799991493341556,-0.3697338766153041,218.0,7.266659642229012
133,varjo,sandwich,P21,merged,/data/AMPs/second-round/avg-lum-per-frame/P21_sandwich_varjo_P21_sandwich_2_merged_varjo.csv,727.8604659388062,0.7069722937144773,219.0,7.3072999926927,-0.4852545777346017,218.0,7.2739333260593995
134,varjo,sandwich,P10,full,/data/AMPs/second-round/avg-lum-per-frame/P10_sandwich_varjo_P10_sandwich_2022-01-31_13-22-04-449.csv,2084.231318576392,451.41657612577336,5000.0,166.6665055557113,-0.9996112289563103,4990.0,166.33317254459988
135,varjo,sandwich,P10,merged,/data/AMPs/second-round/avg-lum-per-frame/P10_sandwich_varjo_P10_sandwich_2_merged.csv,508.6080994913919,0.18203668038986076,63.0,2.1020999978979,-0.08154800363531389,64.0,2.1354666645312
136,varjo,sandwich,P9,full,/data/AMPs/second-round/avg-lum-per-frame/P9_sandwich_varjo_P9_sandwich_2022-02-04_10-17-54-061.csv,383.99962880035883,1.5833889724693013,273.0,9.099991203341837,-0.5833611386185472,163.0,5.433328081116188
137,varjo,sandwich,P9,merged,/data/AMPs/second-round/avg-lum-per-frame/P9_sandwich_varjo_P9_sandwich_2_merged_varjo_2022-02-04_10-17-54-061.csv,384.6175662820491,0.5153476527238567,178.0,5.9392666607274,-0.6072290063065792,177.0,5.9058999940941
138,varjo,sandwich,P14,full,/data/AMPs/second-round/avg-lum-per-frame/P14_sandwich_varjo_P14_sandwich_2022-02-01_13-55-10-050.csv,501.6328484215798,1.517655854648254,382.0,12.733321024456343,-0.5653418744416403,322.0,10.733322957787808
139,varjo,sandwich,P14,merged,/data/AMPs/second-round/avg-lum-per-frame/P14_sandwich_varjo_P14_sandwich_2_merged.csv,502.1015994978984,0.4814351746244565,382.0,12.7460666539206,-0.5272395196629625,323.0,10.777433322555899
140,varjo,sandwich,P24,full,/data/AMPs/second-round/avg-lum-per-frame/P24_sandwich_varjo_P24_sandwich_2022-02-16_09-54-31-530.csv,520.3994969471529,0.9780037714371459,493.0,16.433317447793133,-0.5223524927475104,417.0,13.89998656334632
141,varjo,sandwich,P24,merged,/data/AMPs/second-round/avg-lum-per-frame/P24_sandwich_varjo_P24_sandwich_2_merged_varjo.csv,518.9183994810816,0.7443142175168826,364.0,12.145466654521199,-0.338049125456676,362.0,12.0787333212546
142,varjo,sandwich,P5,full,/data/AMPs/second-round/avg-lum-per-frame/P5_sandwich_varjo_P5_sandwich_2022-02-08_10-12-55-026.csv,336.0330085014251,2.081720543652734,177.0,5.89999429667218,-0.6774328434992687,84.0,2.7999972933359496
143,varjo,sandwich,P5,merged,/data/AMPs/second-round/avg-lum-per-frame/P5_sandwich_varjo_P5_sandwich_2_merged_varjo_2022-02-08_10-12-55-026.csv,337.4037329959296,0.5615593127421878,117.0,3.9038999960961,-0.485686713786756,116.0,3.8705333294627997
