,HMD,task,subID,type,path,max_lum_roc,max_lum_frame,max_lum_time(s),min_lum_roc,min_lum_frame,min_lum_time(s)
86,varjo,cereal,P22,full,/data/AMPs/second-round/avg-lum-per-frame/P22_cereal_varjo_P22_cereal_2022-02-08_14-08-32-700.csv,3.6966292134831464,425.0,14.16665297223546,-0.8455497382198953,334.0,11.133322571121514
87,varjo,cereal,P22,merged,/data/AMPs/second-round/avg-lum-per-frame/P22_cereal_varjo_P22_cereal_2_merged_varjo.csv,0.3581780538302277,360.0,12.011999987988,-0.38394793926247284,269.0,8.9756333243577
88,varjo,cereal,P5,full,/data/AMPs/second-round/avg-lum-per-frame/P5_cereal_varjo_P5_cereal_2022-02-08_10-22-45-519.csv,3.878787878787879,200.0,6.666660222228452,-0.4823151125401929,121.0,4.033329434448214
89,varjo,cereal,P5,merged,/data/AMPs/second-round/avg-lum-per-frame/P5_cereal_varjo_P5_cereal_2_merged_varjo.csv,0.5557851239669422,182.0,6.0727333272605994,-0.5082644628099173,104.0,3.4701333298632
90,varjo,cereal,P16,full,/data/AMPs/second-round/avg-lum-per-frame/P16_cereal_varjo_P16_cereal_2022-02-02_10-48-46-081.csv,0.5181159420289856,137.0,4.5666622522264895,-0.4442307692307692,95.0,3.1666636055585147
91,varjo,cereal,P16,merged,/data/AMPs/second-round/avg-lum-per-frame/P16_cereal_varjo_P16_cereal_2_merged_2022-02-02_10-48-46-081.csv,0.5324947589098532,170.0,5.672333327661,-1.0,6820.0,227.560666439106
92,varjo,cereal,P4,full,/data/AMPs/second-round/avg-lum-per-frame/P4_cereal_varjo_P4_cereal_2022-02-14_10-11-48-204.csv,0.4577464788732395,228.0,7.5999926533404345,-0.33577981651376143,186.0,6.19999400667246
93,varjo,cereal,P4,merged,/data/AMPs/second-round/avg-lum-per-frame/P4_cereal_varjo_P4_cereal_2_merged_varjo.csv,0.6796116504854368,191.0,6.3730333269603,-0.4345991561181435,189.0,6.3062999936937
94,varjo,cereal,P13,full,/data/AMPs/second-round/avg-lum-per-frame/P13_cereal_varjo_P13_cereal_2022-02-07_11-49-49-595.csv,0.6403785488958991,137.0,4.5666622522264895,-0.6003976143141153,92.0,3.0666637022250876
95,varjo,cereal,P13,merged,/data/AMPs/second-round/avg-lum-per-frame/P13_cereal_varjo_P13_cereal_2_merged_varjo.csv,0.35084033613445387,142.0,4.7380666619286,-0.4189473684210526,97.0,3.2365666634301
96,varjo,cereal,P25,full,/data/AMPs/second-round/avg-lum-per-frame/P25_cereal_varjo_P25_cereal_2022-02-09_11-13-19-240.csv,8.619718309859154,194.0,6.466660415561598,-0.8950354609929078,147.0,4.899995263337912
97,varjo,cereal,P25,merged,/data/AMPs/second-round/avg-lum-per-frame/P25_cereal_varjo_P25_cereal_2_merged_varjo.csv,0.3821292775665399,200.0,6.67333332666,-0.5273972602739726,153.0,5.1050999948949
98,varjo,cereal,P24,full,/data/AMPs/second-round/avg-lum-per-frame/P24_cereal_varjo_P24_cereal_2022-02-16_10-09-08-765.csv,0.9570815450643777,293.0,9.766657225564682,-0.5674418604651164,228.0,7.5999926533404345
99,varjo,cereal,P24,merged,/data/AMPs/second-round/avg-lum-per-frame/P24_cereal_varjo_P24_cereal_2_merged_varjo.csv,1.2440944881889764,137.0,4.5712333287621,-0.7107061503416856,136.0,4.5378666621288
100,varjo,cereal,P15,full,/data/AMPs/second-round/avg-lum-per-frame/P15_cereal_varjo_P15_cereal_2022-02-15_14-28-38-447.csv,1.1379310344827585,138.0,4.5999955533376315,-0.6525096525096525,99.0,3.2999968100030834
101,varjo,cereal,P15,merged,/data/AMPs/second-round/avg-lum-per-frame/P15_cereal_varjo_P15_cereal_2_merged_varjo.csv,0.5249406175771971,217.0,7.2405666594261,-0.4051172707889126,178.0,5.9392666607274
102,varjo,cereal,P3,full,/data/AMPs/second-round/avg-lum-per-frame/P3_cereal_varjo_P3_cereal_2022-02-10_10-38-06-418.csv,0.48344370860927155,341.0,11.36665567889951,-0.3215130023640662,300.0,9.999990333342677
103,varjo,cereal,P3,merged,/data/AMPs/second-round/avg-lum-per-frame/P3_cereal_varjo_P3_cereal_2_merged_varjo.csv,0.3764044943820224,270.0,9.008999990990999,-0.5058548009367682,229.0,7.6409666590256995
104,varjo,cereal,P6,full,/data/AMPs/second-round/avg-lum-per-frame/P6_cereal_varjo_P6_cereal_2022-02-10_15-06-06-750.csv,1.4308510638297873,279.0,9.29999101000869,-0.55,226.0,7.53332605111815
